animalsAmount,grassAmount,avgLifeLength,avgEnergy,avgChildrenAmount
341,2,0.0,86.97653958944281,0.2404692082111437
396,4,0.0,73.93434343434343,0.48484848484848486
468,6,0.0,61.598290598290596,0.717948717948718
561,8,0.0,50.4331550802139,0.93048128342246
680,9,0.0,40.61029411764706,1.1176470588235294
830,10,0.0,32.35180722891566,1.2771084337349397
1002,12,0.0,25.82934131736527,1.401197604790419
1168,14,0.0,21.199486301369863,1.4863013698630136
1329,13,4.25,17.733634311512414,1.5545522949586155
1433,12,5.181818181818183,15.525471039776692,1.6427076064200976
1481,12,5.145299145299149,14.041188386225523,1.7528696826468602
1496,14,5.681034482758622,12.844919786096257,1.9090909090909092
1471,13,5.843835616438356,12.057783820530252,2.08837525492862
1428,14,6.190019193857966,11.355742296918768,2.3095238095238093
1369,13,6.501474926253687,10.830533235938642,2.5522279035792548
1278,13,6.726840855106889,10.544600938967136,2.848200312989045
1181,11,6.938735177865612,10.4038950042337,3.20575783234547
1074,12,7.080944350758854,10.33147113594041,3.649906890130354
968,13,7.295722713864307,10.337809917355372,4.181818181818182
894,13,7.512820512820513,10.13758389261745,4.644295302013423
822,13,7.702685821361649,9.990267639902676,5.1654501216545015
754,13,7.8185530921820305,9.859416445623342,5.750663129973475
682,10,7.972131147540984,9.991202346041055,6.486803519061583
620,10,8.105098855359001,9.983870967741936,7.232258064516129
557,11,8.269154228855722,10.035906642728905,8.140035906642728
494,11,8.501434034416826,10.317813765182187,9.255060728744938
417,12,8.623108665749653,11.11031175059952,11.02158273381295
372,13,8.7447474295932,11.42741935483871,12.413978494623656
314,15,8.823937554206411,12.337579617834395,14.777070063694268
267,14,8.914902624894152,13.726591760299625,17.44569288389513
244,16,9.020033388981625,13.885245901639344,19.18032786885246
222,15,9.125309150865611,14.684684684684685,21.153153153153152
210,16,9.212505108295868,14.623809523809523,22.447619047619046
189,17,9.280517380759896,15.317460317460318,25.005291005291006
172,17,9.3389423076923,16.13372093023256,27.53488372093023
156,19,9.389197776012706,16.653846153846153,30.435897435897434
142,19,9.478706624605676,17.732394366197184,33.49295774647887
133,18,9.542745098039216,18.74436090225564,35.83458646616541
127,19,9.59453125,18.866141732283463,37.59055118110236
115,21,9.67106796116505,19.721739130434784,41.56521739130435
110,22,9.709365325077401,19.9,43.527272727272724
108,23,9.748359706676958,19.574074074074073,44.425925925925924
106,24,9.786676934924913,19.27358490566038,45.339622641509436
105,25,9.790465205690117,18.80952380952381,45.82857142857143
106,27,9.804606525911705,17.61320754716981,45.490566037735846
105,29,9.829501915708812,16.742857142857144,46.0
101,29,9.870561282932414,17.10891089108911,47.92079207920792
97,31,9.91016368481157,16.742268041237114,49.97938144329897
91,32,9.933636708380734,17.186813186813186,53.362637362637365
87,33,9.950794852384554,17.379310344827587,55.839080459770116
83,33,9.961465810351338,18.120481927710845,58.55421686746988
75,32,9.98833270605946,20.413333333333334,64.85333333333334
69,34,9.984979346601575,21.10144927536232,70.4927536231884
65,34,10.012748406449191,22.523076923076925,74.83076923076923
61,35,10.022829341317362,23.57377049180328,79.77049180327869
60,37,10.038504672897194,22.933333333333334,81.16666666666667
59,38,10.086194029850745,22.915254237288135,82.67796610169492
56,39,10.119642191576594,23.803571428571427,87.10714285714286
56,41,10.119642191576594,22.803571428571427,87.10714285714286
51,43,10.210780669144981,23.901960784313726,95.72549019607843
52,43,10.216648086213304,23.365384615384617,93.96153846153847
51,45,10.230226513182325,22.784313725490197,95.84313725490196
53,47,10.249443207126948,20.92452830188679,92.33962264150944
55,49,10.269016697588125,19.163636363636364,89.0909090909091
53,50,10.282802075611562,19.58490566037736,92.49056603773585
52,51,10.314444444444442,19.692307692307693,94.3076923076923
48,53,10.336659275683663,20.208333333333332,102.25
45,53,10.353266888150605,22.266666666666666,109.06666666666666
40,52,10.389093588798819,26.75,122.7
38,54,10.386229749631807,27.105263157894736,129.1578947368421
37,55,10.384615384615381,27.89189189189189,132.64864864864865
34,56,10.42647058823529,30.441176470588236,144.35294117647058
33,58,10.439015429831002,30.303030303030305,148.78787878787878
36,60,10.439015429831002,26.77777777777778,136.55555555555554
38,61,10.462357693720158,25.026315789473685,129.52631578947367
40,61,10.462357693720158,24.8,123.15
41,63,10.486417033773858,23.170731707317074,120.2439024390244
41,64,10.51082568807339,22.21951219512195,120.29268292682927
39,65,10.556451612903222,23.333333333333332,126.51282051282051
40,66,10.556451612903222,22.775,123.4
39,68,10.559663250366029,22.28205128205128,126.71794871794872
38,69,10.607312614259593,22.842105263157894,130.1578947368421
40,69,10.61366959064327,21.8,123.8
37,69,10.625912408759119,24.62162162162162,133.8918918918919
36,67,10.626048887267416,28.694444444444443,137.61111111111111
36,68,10.623267687819105,28.805555555555557,137.66666666666666
35,69,10.648323615160345,29.714285714285715,141.65714285714284
33,71,10.657080451401523,30.424242424242426,150.3030303030303
36,70,10.657080451401523,29.63888888888889,137.94444444444446
37,71,10.660967624590754,27.81081081081081,134.3783783783784
38,73,10.662181818181812,26.05263157894737,130.94736842105263
39,73,10.661941112322786,26.41025641025641,127.6923076923077
37,73,10.689429713040315,28.91891891891892,134.59459459459458
37,74,10.687363834422653,28.675675675675677,134.64864864864865
35,76,10.69640914036996,29.228571428571428,142.4
36,77,10.69640914036996,28.52777777777778,138.5
33,77,10.718580224556314,32.121212121212125,151.15151515151516
33,78,10.735794426348164,32.303030303030305,151.27272727272728
